occurrence_no,record_type,reid_no,flags,collection_no,permissions,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc.1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso,primary_reference,authorizer,enterer,modifier
842121,occ,NA,,93432,NA,Paratypothorax sp.,genus,64939,,Paratypothorax,NA,genus,64939,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Paratypothorax,64939,NA,NA,NA,NA,,-109.736664,34.941113,"UCMP, paramedian plates, lateral plate",Paulcell Shellbed (PFV 56),NA,PV56,US,Arizona,Apache,based on nearby landmark,seconds,,Dry Creek Tank area of Petrified Forest National Park,gp_mid,-37.56,10.42,101,US,NPS,Chinle,,Petrified Forest,,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002). ",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1983, 1987",,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Paratypothorax,,,NA,sp.,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842122,occ,NA,,93432,NA,Postosuchus kirkpatricki,species,69074,,Postosuchus kirkpatricki,NA,species,69074,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Rauisuchidae,38249,Postosuchus,38264,NA,NA,NA,2,elements,-109.736664,34.941113,"UCMP, cervical centrum, anterior dorsal centrum",Paulcell Shellbed (PFV 56),NA,PV56,US,Arizona,Apache,based on nearby landmark,seconds,,Dry Creek Tank area of Petrified Forest National Park,gp_mid,-37.56,10.42,101,US,NPS,Chinle,,Petrified Forest,,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002). ",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1983, 1987",,,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Postosuchus,,,NA,kirkpatricki,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842124,occ,NA,,93432,NA,Pseudopalatus pristinus,species,69064,recombined as,Machaeroprosopus pristinus,NA,species,69064,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Parasuchidae,133090,Machaeroprosopus,69056,NA,NA,NA,1,individuals,-109.736664,34.941113,"UCMP, complete skull",Paulcell Shellbed (PFV 56),NA,PV56,US,Arizona,Apache,based on nearby landmark,seconds,,Dry Creek Tank area of Petrified Forest National Park,gp_mid,-37.56,10.42,101,US,NPS,Chinle,,Petrified Forest,,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002). ",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1983, 1987",,,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Pseudopalatus,,,NA,pristinus,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842125,occ,NA,,93431,NA,Machaeroprosopus n. sp. tenuis,species,69066,,Machaeroprosopus tenuis,NA,species,69066,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Parasuchidae,133090,Machaeroprosopus,69056,NA,NA,NA,1,individuals,-109.736664,34.941113,"UCMP 27018, skull and lower jaws","Dry Creek Tank SE (UCMP V82040, PFV 55)",NA,"PV55, CLC ""Billings Gap"", UCMP 7043",US,Arizona,Apache,based on nearby landmark,seconds,,Dry Creek Tank area of Petrified Forest National Park,gp_mid,-37.56,10.42,101,US,NPS,Chinle,,Sonsela,,,,,,,,NA,"""Upper Petrified Forest Formation"" according to Long & Murry (1995); probably Sonsela Member (Parker & Irmis 2005)",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1923, 1981, 1987","UCMP 7043 and UCMP V82040 ""probably"" represent the same locality",,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Machaeroprosopus,,,NA,tenuis,n. sp.,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842126,occ,NA,,93431,NA,Paratypothorax sp.,genus,64939,,Paratypothorax,NA,genus,64939,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Paratypothorax,64939,NA,NA,NA,2,specimens,-109.736664,34.941113,"UCMP 126880, paramedian plate. UCMP 126881, lateral plate","Dry Creek Tank SE (UCMP V82040, PFV 55)",NA,"PV55, CLC ""Billings Gap"", UCMP 7043",US,Arizona,Apache,based on nearby landmark,seconds,,Dry Creek Tank area of Petrified Forest National Park,gp_mid,-37.56,10.42,101,US,NPS,Chinle,,Sonsela,,,,,,,,NA,"""Upper Petrified Forest Formation"" according to Long & Murry (1995); probably Sonsela Member (Parker & Irmis 2005)",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1923, 1981, 1987","UCMP 7043 and UCMP V82040 ""probably"" represent the same locality",,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Paratypothorax,,,NA,sp.,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,R. Butler
842127,occ,22715,,93433,NA,Leptosuchus sp.,genus,64948,,Leptosuchus,NA,genus,64948,Norian,,228,208.5,Irmis,2005,15399,Chordata,33815,Reptilia,36322,Eosuchia,37795,Parasuchidae,133090,Leptosuchus,64948,NA,NA,NA,1,individuals,-109.755554,34.916668,"UCMP 27149, large skull","Cowboy (UCMP A257, PFV 154)",NA,PV154,US,Arizona,Apache,based on nearby landmark,minutes,small collection,Cowboy area of Petrified Forest National Park,gp_mid,-37.58,10.4,101,US,NPS,Chinle,,Sonsela,bed,,,,,,,NA,"""Upper Petrified Forest Formation"" according to Long & Murry (1995), but listed as medial Sonsela Member by Irmis (2005)",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1926, 1981",,,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Leptosuchus,,,NA,sp.,,"R. B. Irmis. 2005. The vertebrate fauna of the Upper Triassic Chinle Formation in northern Arizona. In S. J. Nesbitt, W. G. Parker, & R. B. Irmis (eds.), Guidebook to the Triassic Formations of the Colorado Plateau in Northern Arizona: Geology, Paleontology, and History. Mesa Southwest Museum Bulletin 9:63-88",R. Butler,R. Butler,
842131,occ,NA,,93436,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,1,individuals,-109.755554,34.916668,"CFMNH PR 1562, numerus plates from much of the body, vertebrae and ribs",Gatesy's Plunge (PFV 60),NA,PV60,US,Arizona,Apache,based on nearby landmark,minutes,small collection,Gatesy's Plunge area of Petrified Forest National Park,gp_mid,-37.58,10.4,101,US,NPS,Chinle,,Petrified Forest,bed,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002). ",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,,,,,CFMNH,1983,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842136,occ,NA,,93439,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,NA,,-109.800003,34.866669,"UCMP, paramedian plate fragments",Battleship SW (PFV 67),NA,PF67,US,Arizona,Apache,estimated from map,minutes,small collection,,gp_mid,-37.63,10.36,101,US,NPS,Chinle,,Petrified Forest,bed,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,1983,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842139,occ,NA,,93441,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,2,elements,-109.82222,34.830555,"UCMP 126859, paramedian plate fragment. PEFO 23388, paramedian plate","Flattops NW (UCMP V82258, PFV 70)",NA,PF70,US,Arizona,Apache,estimated from map,seconds,small collection,,gp_mid,-37.66,10.33,101,US,NPS,Chinle,,Petrified Forest,bed,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,1982,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,R. Butler
842143,occ,NA,,93443,NA,Apachesaurus gregorii,species,69036,,Apachesaurus gregorii,NA,species,69036,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Osteichthyes,34881,Temnospondyli,36320,Metoposauridae,37162,Apachesaurus,69035,NA,NA,NA,2,specimens,-109.82222,34.830555,"CFMNH, skull and lower jaws with centra. UCMP 129830, plate fragments","Karen's Point (UCMP V82240, PFV 75)",NA,PF75,US,Arizona,Apache,estimated from map,seconds,outcrop,,gp_mid,-37.66,10.33,101,US,NPS,Chinle,,Petrified Forest,group of beds,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).\r\n""On flats below Flattops Sandstone 1 up to and including conglomeratic bed""",,conglomerate,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1982, 1983, 1985",,,"brackish,freshwater,terrestrial",NA,actively mobile,amphibious,NA,carnivore,,,,hydroxyapatite,,,NA,Apachesaurus,,,NA,gregorii,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842145,occ,NA,,93443,NA,Paratypothorax sp.,genus,64939,,Paratypothorax,NA,genus,64939,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Paratypothorax,64939,NA,NA,NA,1,specimens,-109.82222,34.830555,"UCMP 129832, paramedian plate fragment","Karen's Point (UCMP V82240, PFV 75)",NA,PF75,US,Arizona,Apache,estimated from map,seconds,outcrop,,gp_mid,-37.66,10.33,101,US,NPS,Chinle,,Petrified Forest,group of beds,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).\r\n""On flats below Flattops Sandstone 1 up to and including conglomeratic bed""",,conglomerate,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1982, 1983, 1985",,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Paratypothorax,,,NA,sp.,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,R. Butler
842146,occ,NA,,93443,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,23,specimens,-109.82222,34.830555,"UCMP 126806, 126808, 126809, 126858, 126867, 126905, 126907, 126911, 126912, 126915-126927, paramedian and lateral plates","Karen's Point (UCMP V82240, PFV 75)",NA,PF75,US,Arizona,Apache,estimated from map,seconds,outcrop,,gp_mid,-37.66,10.33,101,US,NPS,Chinle,,Petrified Forest,group of beds,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).\r\n""On flats below Flattops Sandstone 1 up to and including conglomeratic bed""",,conglomerate,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1982, 1983, 1985",,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842165,occ,NA,,93450,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,1,elements,-109.883331,34.788891,"UCMP, paramedian plate",Jim Camp Wash 2 (PFV 83),NA,PF83,US,Arizona,Navajo,estimated from map,seconds,small collection,,gp_mid,-37.72,10.29,101,US,,Chinle,,Petrified Forest,bed,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).\r\n",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,1993,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842169,occ,NA,,93453,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,1,elements,-109.883331,34.788891,"UCMP, paramedian plate",Jim Camp Wash 4 (PFV 86),NA,PF86,US,Arizona,Navajo,estimated from map,seconds,small collection,,gp_mid,-37.72,10.29,101,US,,Chinle,,Petrified Forest,bed,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).\r\n",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1984, 1985",,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842179,occ,NA,,93455,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,3,specimens,-109.901947,34.823891,"UCMP 126862, 126855, 126860, plates","Giant Logs N1 (UCMP V82271, PFV 94)",NA,PF94,US,Arizona,Navajo,based on nearby landmark,seconds,,"Giant Logs area, southern Petrified Forest National Park",gp_mid,-37.72,10.33,101,US,,Chinle,,Petrified Forest,,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002). ",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,"1982, 1985",,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842182,occ,NA,,93456,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,1,elements,-109.901947,34.823891,"UCMP, paramedian plate fragment",Giant Logs N2 (PFV 90),NA,PF90,US,Arizona,Navajo,based on nearby landmark,seconds,,"Giant Logs area, southern Petrified Forest National Park",gp_mid,-37.72,10.33,101,US,,Chinle,,Sonsela,,,,,,,,NA,"Listed by Long & Murry (1995) as the Jim Camp Wash mudstone of the ""Upper Petrified Forest Formation""; shown by Hunt et al. (2002) as within the Sonsela Member",,mudstone,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,"field collection,survey of museum collection",UCMP,,,,UCMP,1983,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842184,occ,NA,,57686,NA,Paratypothorax sp.,genus,64939,,Paratypothorax,NA,genus,64939,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Paratypothorax,64939,NA,NA,NA,1,elements,-109.807503,35.125,"UCMP, paramedian plate fragment","Bowman Locality, PFV 89",NA,"PEFO 85165, UCMP V84244, MNA 302/23",US,Arizona,Apache,based on nearby landmark,seconds,,,gp_mid,-37.58,10.61,101,US,NPS,Chinle,,Sonsela,,,,,,,,NA,"Jim Camp Wash Beds of Sonsela Member (Parker & Irmis 2005); formerly listed as in the ""Upper Petrified Forest Member"" by Long & Murry",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,"field collection,survey of museum collection",UCMP,,,,UCMP,1983,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Paratypothorax,,,NA,sp.,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842185,occ,NA,,57686,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,1,elements,-109.807503,35.125,"UCMP, paramedian plate fragment","Bowman Locality, PFV 89",NA,"PEFO 85165, UCMP V84244, MNA 302/23",US,Arizona,Apache,based on nearby landmark,seconds,,,gp_mid,-37.58,10.61,101,US,NPS,Chinle,,Sonsela,,,,,,,,NA,"Jim Camp Wash Beds of Sonsela Member (Parker & Irmis 2005); formerly listed as in the ""Upper Petrified Forest Member"" by Long & Murry",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,"field collection,survey of museum collection",UCMP,,,,UCMP,1983,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842187,occ,NA,,93458,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,1,elements,-109.883331,34.788891,"UCMP, paramedian plate fragment",Jim Camp Wash 1 (PFV 88),NA,PF88,US,Arizona,Navajo,estimated from map,seconds,small collection,,gp_mid,-37.72,10.29,101,US,,Chinle,,Sonsela,bed,,,,,,,NA,"Listed by Long & Murry (1995) as the Jim Camp Wash mudstone of the ""Upper Petrified Forest Formation""; Hunt et al. (2002: fig. 1) show this locality as in the Sonsela Member",,mudstone,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,"field collection,survey of museum collection",UCMP,,,,UCMP,1983,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842188,occ,NA,,93459,NA,Apachesaurus gregorii,species,69036,,Apachesaurus gregorii,NA,species,69036,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Osteichthyes,34881,Temnospondyli,36320,Metoposauridae,37162,Apachesaurus,69035,NA,NA,NA,2,specimens,-109.666664,34.733891,"CFMNH, posterior skull deck. UCMP, partial centrum","Rim Tank N (UCMP V82267, PFV 25)",NA,PF25,US,Arizona,Apache,estimated from map,seconds,,,gp_mid,-37.55,10.2,101,US,,Chinle,,Petrified Forest,,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).\r\n",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,1982,,,"brackish,freshwater,terrestrial",NA,actively mobile,amphibious,NA,carnivore,,,,hydroxyapatite,,,NA,Apachesaurus,,,NA,gregorii,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
842190,occ,NA,,93459,NA,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Typothorax,64792,NA,NA,NA,2,elements,-109.666664,34.733891,"UCMP 126807, 126963, plates","Rim Tank N (UCMP V82267, PFV 25)",NA,PF25,US,Arizona,Apache,estimated from map,seconds,,,gp_mid,-37.55,10.2,101,US,,Chinle,,Petrified Forest,,,,,,,,NA,"""Upper Petrified Forest Formation""; now known as the Petrified Forest Member (Woody 2003) or the Painted Desert Member of the Petrified Forest Formation (Heckert & Lucas 2002).\r\n",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,survey of museum collection,UCMP,,,,UCMP,1982,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Typothorax,,,NA,coccinarum,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
